0	x o1 ŋ͡m
1	m o6 t
2	h a1 j
3	b a1
4	b o5 n
5	n ă1 m
6	ʂ ă5 w
7	b ă4 j
8	t a5 m
9	c i5 n
a	a1
á	a5
à	a2
ã	a3
ả	a4
ạ	a6
ác	a5 k
ắc	ă5 k
ậc	ɤ̆6 k
ặc	ă6 k
ách	a5 tʃ
ạch	a6 tʃ
ad	æ5 d
adn	a1 d n
ai	a1 j
ái	a5 j
ải	a4 j
ak	a1 k
album	æ5 l b ʌ1 m
am	a1 m
ám	a5 m
âm	ɤ̆1 m
ăm	ă1 m
ấm	ɤ̆5 m
ầm	ɤ̆2 m
ẵm	ă3 m
ảm	a4 m
ẩm	ɤ̆4 m
ậm	ɤ̆6 m
an	a1 n
án	a5 n
ân	ɤ̆1 n
ăn	ă1 n
ấn	ɤ̆5 n
ẩn	ɤ̆4 n
and	æ1 n d
ang	a1 ŋ
áng	a5 ŋ
ăng	ă1 ŋ
ắng	ă5 ŋ
ằng	ă2 ŋ
ảng	a4 ŋ
ẳng	ă4 ŋ
anh	ɛ1 ɲ
ánh	ɛ5 ɲ
ảnh	ɛ4 ɲ
ạnh	ɛ6 ɲ
ao	a1 w
áo	a5 w
ào	a2 w
ảo	a4 w
ạo	a6 w
aỏn	a1 n
áp	a5 p
ấp	ɤ̆5 p
ắp	ă5 p
ập	ɤ̆6 p
asean	ə1 z i5 ə1 n
át	a5 t
ất	ɤ̆5 t
ắt	ă5 t
ạt	a6 t
atom	æ5 t ə1 m
au	ă1 w
âu	ɤ̆1 w
ấu	ɤ̆5 w
ầu	ɤ̆2 w
ẩu	ɤ̆4 w
áy	ă5 j
ây	ɤ̆1 j
ấy	ɤ̆5 j
ầy	ɤ̆2 j
ẩy	ɤ̆4 j
b	b i5
ba	b a1
bá	b a5
bà	b a2
bã	b a3
bả	b a4
bạ	b a6
bác	b a5 k
bấc	b ɤ̆5 k
bắc	b ă5 k
bạc	b a6 k
bậc	b ɤ̆6 k
bách	b a5 tʃ
bạch	b a6 tʃ
bai	b a1 j
bái	b a5 j
bài	b a2 j
bãi	b a3 j
